region,gender,count,year,age_band
전북,여,3,2005,60대
광주·전남,남,116,2005,60대
광주·전남,여,30,2005,60대
경남,남,35,2005,60대
경남,여,2,2005,60대
제주,남,31,2005,60대
제주,여,0,2005,60대
서울중앙,남,36196,2006,10대
서울중앙,여,18787,2006,10대
서울서부,남,31765,2006,10대
서울서부,여,11474,2006,10대
서울남부,남,31366,2006,10대
서울남부,여,13739,2006,10대
서울동부,남,44189,2006,10대
서울동부,여,26547,2006,10대
부산,남,44939,2006,10대
부산,여,25786,2006,10대
대구·경북,남,45027,2006,10대
대구·경북,여,24941,2006,10대
인천,남,30020,2006,10대
인천,여,20346,2006,10대
울산,남,16839,2006,10대
울산,여,9215,2006,10대
경기,남,36689,2006,10대
경기,여,13426,2006,10대
강원,남,11135,2006,10대
강원,여,4032,2006,10대
충북,남,18841,2006,10대
충북,여,9727,2006,10대
대전·세종·충남,남,38149,2006,10대
대전·세종·충남,여,16832,2006,10대
전북,남,31187,2006,10대
전북,여,18539,2006,10대
광주·전남,남,47173,2006,10대
광주·전남,여,31464,2006,10대
경남,남,25768,2006,10대
경남,여,8199,2006,10대
제주,남,5508,2006,10대
제주,여,3106,2006,10대
서울중앙,남,105762,2006,20대
서울중앙,여,23697,2006,20대
서울서부,남,57228,2006,20대
서울서부,여,9937,2006,20대
서울남부,남,84777,2006,20대
서울남부,여,19156,2006,20대
서울동부,남,77796,2006,20대
서울동부,여,16040,2006,20대
부산,남,86243,2006,20대
부산,여,21942,2006,20대
대구·경북,남,67990,2006,20대
대구·경북,여,20063,2006,20대
인천,남,39369,2006,20대
인천,여,10104,2006,20대
울산,남,32999,2006,20대
울산,여,6252,2006,20대
경기,남,47634,2006,20대
경기,여,9844,2006,20대
강원,남,49728,2006,20대
강원,여,3714,2006,20대
충북,남,33616,2006,20대
충북,여,6335,2006,20대
대전·세종·충남,남,59311,2006,20대
대전·세종·충남,여,11175,2006,20대
전북,남,43893,2006,20대
전북,여,9325,2006,20대
광주·전남,남,73145,2006,20대
광주·전남,여,19411,2006,20대
경남,남,43464,2006,20대
경남,여,5379,2006,20대
제주,남,12836,2006,20대
제주,여,2058,2006,20대
서울중앙,남,22302,2006,30대
서울중앙,여,3549,2006,30대
서울서부,남,17157,2006,30대
서울서부,여,2105,2006,30대
서울남부,남,24215,2006,30대
서울남부,여,3555,2006,30대
서울동부,남,18773,2006,30대
서울동부,여,4131,2006,30대
부산,남,19898,2006,30대
부산,여,2932,2006,30대
대구·경북,남,17115,2006,30대
대구·경북,여,2473,2006,30대
인천,남,11616,2006,30대
인천,여,2307,2006,30대
울산,남,8965,2006,30대
울산,여,1134,2006,30대
경기,남,21101,2006,30대
경기,여,2340,2006,30대
강원,남,4147,2006,30대
강원,여,677,2006,30대
충북,남,5874,2006,30대
충북,여,725,2006,30대
대전·세종·충남,남,11655,2006,30대
대전·세종·충남,여,1298,2006,30대
전북,남,9594,2006,30대
전북,여,1372,2006,30대
광주·전남,남,15822,2006,30대
광주·전남,여,3029,2006,30대
경남,남,12180,2006,30대
경남,여,980,2006,30대
제주,남,3824,2006,30대
제주,여,564,2006,30대
서울중앙,남,7741,2006,40대
서울중앙,여,1214,2006,40대
서울서부,남,6101,2006,40대
서울서부,여,760,2006,40대
서울남부,남,8331,2006,40대
서울남부,여,1360,2006,40대
서울동부,남,7462,2006,40대
서울동부,여,2263,2006,40대
부산,남,6858,2006,40대
부산,여,1261,2006,40대
대구·경북,남,7369,2006,40대
대구·경북,여,1299,2006,40대
인천,남,4670,2006,40대
인천,여,1142,2006,40대
울산,남,4881,2006,40대
울산,여,500,2006,40대
경기,남,7618,2006,40대
경기,여,1007,2006,40대
강원,남,1996,2006,40대
강원,여,404,2006,40대
충북,남,2681,2006,40대
충북,여,352,2006,40대
대전·세종·충남,남,5777,2006,40대
대전·세종·충남,여,698,2006,40대
전북,남,3135,2006,40대
전북,여,492,2006,40대
광주·전남,남,6632,2006,40대
광주·전남,여,1478,2006,40대
경남,남,4989,2006,40대
경남,여,406,2006,40대
제주,남,1228,2006,40대
제주,여,247,2006,40대
서울중앙,남,2316,2006,50대
서울중앙,여,310,2006,50대
서울서부,남,1690,2006,50대
서울서부,여,212,2006,50대
서울남부,남,2487,2006,50대
서울남부,여,490,2006,50대
서울동부,남,2364,2006,50대
서울동부,여,574,2006,50대
부산,남,2165,2006,50대
부산,여,349,2006,50대
대구·경북,남,2205,2006,50대
대구·경북,여,328,2006,50대
인천,남,1095,2006,50대
인천,여,235,2006,50대
울산,남,1173,2006,50대
