gender,job,region,year,count
여,고등학생,울산,2005,6721
여,고등학생,경기,2005,5471
여,고등학생,강원,2005,1797
여,고등학생,충북,2005,5691
여,고등학생,대전·세종·충남,2005,6335
여,고등학생,전북,2005,9736
여,고등학생,광주·전남,2005,16306
여,고등학생,경남,2005,3853
여,고등학생,제주,2005,2225
여,고등학생,대한적십자사 외,2005,488
여,대학생,대한적십자사,2005,156326
여,대학생,서울중앙,2005,14320
여,대학생,서울서부,2005,4979
여,대학생,서울남부,2005,8308
여,대학생,서울동부,2005,10087
여,대학생,부산,2005,20498
여,대학생,대구·경북,2005,20772
여,대학생,인천,2005,9927
여,대학생,울산,2005,5583
여,대학생,경기,2005,7361
여,대학생,강원,2005,3639
여,대학생,충북,2005,7126
여,대학생,대전·세종·충남,2005,9214
여,대학생,전북,2005,11256
여,대학생,광주·전남,2005,15494
여,대학생,경남,2005,5330
여,대학생,제주,2005,2432
여,대학생,대한적십자사 외,2005,3106
여,군인,대한적십자사,2005,1224
여,군인,서울중앙,2005,201
여,군인,서울서부,2005,39
여,군인,서울남부,2005,165
여,군인,서울동부,2005,143
여,군인,부산,2005,36
여,군인,대구·경북,2005,94
여,군인,인천,2005,118
여,군인,울산,2005,1
여,군인,경기,2005,51
여,군인,강원,2005,50
여,군인,충북,2005,39
여,군인,대전·세종·충남,2005,113
여,군인,전북,2005,28
여,군인,광주·전남,2005,73
여,군인,경남,2005,67
여,군인,제주,2005,6
여,군인,대한적십자사 외,2005,16
여,회사원,대한적십자사,2005,55049
여,회사원,서울중앙,2005,7467
여,회사원,서울서부,2005,3349
여,회사원,서울남부,2005,6890
여,회사원,서울동부,2005,4725
여,회사원,부산,2005,5966
여,회사원,대구·경북,2005,5315
여,회사원,인천,2005,4628
여,회사원,울산,2005,1855
여,회사원,경기,2005,3784
여,회사원,강원,2005,633
여,회사원,충북,2005,1321
여,회사원,대전·세종·충남,2005,2266
여,회사원,전북,2005,1255
여,회사원,광주·전남,2005,3545
여,회사원,경남,2005,1243
여,회사원,제주,2005,807
여,회사원,대한적십자사 외,2005,2428
여,공무원,대한적십자사,2005,6190
여,공무원,서울중앙,2005,661
여,공무원,서울서부,2005,262
