promo_name,promo_url,promo_hits,region,gender,special_promo_coef,special_promo_p_val,special_promo_control_coef,special_promo_control_p_val,special_promo_dates,special_promo_control_dates
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,경기,여,-0.12613482288633038,0.013564041136703585,0.010870059054423844,0.810956424175185,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,서울남부,남,0.1248360529233067,0.007964016780647913,0.07668764949270335,0.06714579422698545,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,서울남부,여,0.10769002652029214,0.12261829584740463,-0.049386698666142,0.4267727929981129,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,서울동부,남,-0.06575315684213172,0.19054171384458535,-0.0839608979558708,0.060747647674615574,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,서울동부,여,0.18197089214759118,0.003261276238845075,0.1673724878541754,0.0023892043927882267,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,서울중앙,남,0.02956985527276423,0.5465603121366438,-0.026191151741230857,0.5488453727290308,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,서울중앙,여,0.15298496755560265,0.012564443911364189,-0.02306171774382297,0.6722608683432345,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,인천,남,-0.04608511035381065,0.3277773811574791,-0.050041691917016705,0.23234332131111704,22,28
ABO Friends 대상 6월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181100&result=L,8129,인천,여,-0.02245282987135309,0.7034022774535442,0.05911934403518223,0.25992901309272054,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,강원,남,-0.0025288697539588875,0.9659474509202487,0.005508470589276351,0.9165361610376896,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,강원,여,0.1525711371594021,0.09669824924391722,0.046868131411541177,0.5650063144801547,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,경남,남,0.030916289367332563,0.6171249308780385,0.1384780036029933,0.012240131894529653,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,경남,여,0.08396040579597708,0.2796095219368011,0.04922025219626838,0.4774724929282872,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,광주전남,남,0.04970361469145215,0.3256549955011022,0.003602051509272537,0.9364565641606275,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,광주전남,여,0.12062866324624003,0.11967207298904475,-0.03593528910686266,0.6037505745632696,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,대구경북,남,0.21733320188194685,7.081684939945756e-05,0.06783684250800463,0.1610144475224678,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,대구경북,여,0.1505171565234005,0.014374875773731028,-0.06144160734366616,0.25997808587195076,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,대전세종충남,남,0.05147206904847123,0.283073458600423,0.05443308164734104,0.20123015365707608,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,대전세종충남,여,0.16551207811129748,0.008676395461770339,0.027186654133993595,0.6267731446593583,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,부산,남,0.17296861873750458,0.019951856235938644,0.09329551484694563,0.15731970696812858,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,부산,여,0.10766487808758035,0.12133008776661759,0.0037505192714662825,0.9515337884229709,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,울산,남,0.07553365147093873,0.24279515144366987,0.05593086511604793,0.32756865321041106,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,울산,여,0.2981039281578107,0.0003141607697586983,0.16191828319431717,0.026417715195035052,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,전북,남,0.07776407925779494,0.259735263564487,0.026898974968120794,0.660627362659896,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,전북,여,0.14414299173472442,0.11542946028432008,0.11854554066269009,0.14488913750741844,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,제주,남,0.2135253620317179,0.011871484199179513,0.02910748801669332,0.6993373392787376,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,제주,여,0.09923332487809781,0.35604667257343514,0.11236270620834612,0.24011004503786856,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,충북,남,0.06721964495363865,0.3012938785706254,-0.05433789276434357,0.3470524231900205,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,충북,여,0.1269253929104995,0.14712848049100927,0.03903813278255923,0.615620673334685,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,경기,남,0.0446102332533467,0.2896660586939619,-0.02409218814700086,0.5197419311806535,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,경기,여,0.01525278419982633,0.7651746721484769,-0.10381346121997098,0.02231411392451418,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,서울남부,남,0.07076622643485213,0.13213961978613892,0.12815815222391752,0.002179023263383246,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,서울남부,여,0.09553594733300358,0.1721371057494837,0.03028689612715247,0.625819094113935,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,서울동부,남,0.05735308301711361,0.25686852373092356,-0.025025540935069982,0.5775121063162265,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,서울동부,여,0.15185727233755228,0.014134621716283454,0.16183155010784528,0.003267591854019309,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,서울중앙,남,0.049737303175513455,0.3115451830176292,0.010831356664257476,0.8041208094786012,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,서울중앙,여,0.11317353239279838,0.06439032237244635,-0.06348933096971827,0.24281199093314085,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,인천,남,0.05136826891942174,0.27657809297820934,-0.05275926477346581,0.20853707203561586,22,28
ABO Friends대상 5월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180840&result=L,7043,인천,여,0.0343691387668383,0.5599635700337857,-0.029432271045453567,0.5742458868234003,22,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,강원,남,0.011918998068036531,0.8332428099520026,-0.10599394069457697,0.04242677024410484,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,강원,여,-0.01031809015033847,0.9068669149303106,-0.007536541144895402,0.926127199676922,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,경남,남,-0.004289284695466028,0.9422885761336703,0.0575252134129503,0.2958878977830917,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,경남,여,-0.18594226384761703,0.01085171569776611,-0.1262184587888141,0.06235457161387915,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,광주전남,남,0.01364013402828937,0.7792917239798354,-0.03281129538166332,0.46703465540552247,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,광주전남,여,-0.17282686548757512,0.018784735772744653,-0.12153153821610516,0.0744116754660097,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,대구경북,남,0.022510560076852024,0.6687836239229166,0.04547235419830588,0.3501296828341849,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,대구경북,여,-0.22200505311075067,0.00015473508631231746,-0.06664081862455355,0.21783941233423437,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,대전세종충남,남,0.004613531386085807,0.9204768428893626,-0.003942257349279154,0.9261511382020521,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,대전세종충남,여,-0.1316813483897774,0.029649609945487834,0.004568411509033886,0.9345842566043117,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,부산,남,0.03195468588837657,0.655178597504067,0.09155896799723465,0.1665748005891163,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,부산,여,-0.08362667749079769,0.21150852534674733,0.1528414107937312,0.01363390149408298,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,울산,남,0.17568310804528303,0.004537661637590135,0.010696186824822415,0.8506710065700588,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,울산,여,0.014970006293532545,0.8506628644683378,0.07259921497400117,0.32101102040692014,24,28
ABO Friends대상 4월 라섹 수술이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180620&result=L,7987,전북,남,-0.07480497744191801,0.2574756854731704,0.018346917077695594,0.765831383921745,24,28
