promo_name,promo_url,promo_hits,region,gender,special_promo_coef,special_promo_control_coef,special_promo_dates,special_promo_control_dates
레드커넥트 앱예약 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161177&result=L,18413,경남,남,0.06212302876248354,-0.04460581902907564,30,28
레드커넥트 앱예약 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161177&result=L,18413,경남,여,-0.053726564315190316,-0.04018941642791075,30,28
［광주전남혈액원］생명을 살리는 헌혈 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181140&result=L,3924,광주전남,남,-0.02336222943107912,0.03261031317819436,30,28
［광주전남혈액원］생명을 살리는 헌혈 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181140&result=L,3924,광주전남,여,-0.03508898397354112,0.07313554237090047,30,28
[광주전남혈액원] 헌혈하고 야구장 가자!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180921&result=L,5627,광주전남,남,-0.011392364219229217,-0.014773898075491152,23,27
[광주전남혈액원] 헌혈하고 야구장 가자!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180921&result=L,5627,광주전남,여,-0.10513578002030526,-0.2080238204024465,23,27
광주전남혈액원 중장년 헌혈자 문화행사 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=164937&result=L,7210,광주전남,남,0.11008392424453049,0.03460523926096943,47,28
광주전남혈액원 중장년 헌혈자 문화행사 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=164937&result=L,7210,광주전남,여,0.02768587104798019,0.18752241818508847,47,28
헌혈자를 초대합니다,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163337&result=L,6432,광주전남,남,0.056121457858349676,0.07421365629950173,16,27
헌혈자를 초대합니다,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163337&result=L,6432,광주전남,여,0.13000952093739102,0.0035260710952564676,16,27
<철든여행> 광주전남 & 전북 ABO Friends 여행 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161897&result=L,5419,광주전남,남,-0.12285277769239523,-0.052211098231155585,31,27
<철든여행> 광주전남 & 전북 ABO Friends 여행 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161897&result=L,5419,광주전남,여,-0.07486403600495105,-0.07145310665549562,31,27
광주전남혈액원 30 ~ 60대 헌혈자를 응원합니다!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161741&result=L,6139,광주전남,남,-0.16706312327746192,-0.05096796605740873,30,28
광주전남혈액원 30 ~ 60대 헌혈자를 응원합니다!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161741&result=L,6139,광주전남,여,-0.2413836514636216,-0.15969824649349343,30,28
[대구경북혈액원] 헌혈자와 함께하는 프로야구경기 관람 이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180740&result=L,54936,대구경북,남,0.057764302073050305,0.0241820292176335,60,28
[대구경북혈액원] 헌혈자와 함께하는 프로야구경기 관람 이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180740&result=L,54936,대구경북,여,-0.156335982437696,-0.06576202832475991,60,28
대구경북혈액원 중장년층 헌혈자 문화행사,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=164577&result=L,26095,대구경북,남,-0.08783508854853042,-0.06206110831564042,63,28
대구경북혈액원 중장년층 헌혈자 문화행사,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=164577&result=L,26095,대구경북,여,0.06944162896305524,0.012644092100764127,63,28
2차 중장년층 헌혈자와 함께하는 프로야구 관람 이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163377&result=L,8025,대구경북,남,-0.006715334501071352,0.008276282707821905,29,28
2차 중장년층 헌혈자와 함께하는 프로야구 관람 이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163377&result=L,8025,대구경북,여,0.1690834273245062,0.17213862545242772,29,28
1차 중장년층 헌혈자와 함께하는 프로야구 관람 이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163217&result=L,5434,대구경북,남,-0.007602598641052714,-0.01233499517055341,17,28
1차 중장년층 헌혈자와 함께하는 프로야구 관람 이벤트,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163217&result=L,5434,대구경북,여,0.12564264320220733,0.201371281713624,17,28
한국도로공사와 함께하는 등록헌혈자 프로모션!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=162177&result=L,25213,대구경북,남,-0.012859314732464603,-0.06572520331482408,46,27
한국도로공사와 함께하는 등록헌혈자 프로모션!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=162177&result=L,25213,대구경북,여,0.143854916296054,-0.06455019423923163,46,27
<철든여행> 대구경북 & 울산 ABO Friends 여행 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161857&result=L,5704,대구경북,남,-0.07837062095534107,0.06539413425406146,27,28
<철든여행> 대구경북 & 울산 ABO Friends 여행 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161857&result=L,5704,대구경북,여,-0.08439721821534756,0.04379854287474261,27,28
중장년층과 함께하는 연말 문화행사 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161779&result=L,13065,대구경북,남,-0.02124108541617997,0.07288642097071564,49,28
중장년층과 함께하는 연말 문화행사 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161779&result=L,13065,대구경북,여,0.02500026750785191,0.004446545623814319,49,28
[대전세종충남혈액원]6.14 헌혈자의날 특별기념품 증정,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181160&result=L,3413,대전세종충남,남,0.72330902168169,0.14700679227877506,1,28
[대전세종충남혈액원]6.14 헌혈자의날 특별기념품 증정,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=181160&result=L,3413,대전세종충남,여,0.5465828011889684,-0.10781893674166491,1,28
[대전세종충남혈액원] 헌혈로 떠나는 무비 바캉스,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180924&result=L,27066,대전세종충남,남,0.09254787700259656,0.011227197639214273,24,28
[대전세종충남혈액원] 헌혈로 떠나는 무비 바캉스,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180924&result=L,27066,대전세종충남,여,-0.14726061073462526,-0.12270268030032731,24,28
