region,coef,p_val,year,quarter,promo_ratio
강원,0.04244591474122585,0.3511935290717806,2021,1,0.6436781609195402
강원,0.022595628067648664,0.9482098967381403,2021,2,0.4444444444444444
강원,0.004255654408234497,0.0029880448228695403,2021,3,0.5280898876404494
강원,0.15499024237831277,0.3101015533955892,2021,4,0.42391304347826086
강원,-0.005122783784173606,0.6505915457352225,2022,1,0.8522727272727273
강원,-0.12356821223895692,0.2816800049193774,2022,2,0.42857142857142855
강원,0.11902256989907893,0.9114936932531559,2022,3,0.21348314606741572
강원,0.039799629191814886,0.0799498697963542,2022,4,0.05434782608695652
강원,0.17164974163375546,0.568179403298306,2023,1,0.5862068965517241
강원,0.05514678428018167,0.5542326468416088,2023,2,0.6777777777777778
경남,-0.06420080673189653,0.05068909941063679,2021,1,0.6436781609195402
경남,-0.012667282387043694,0.707054484290951,2021,2,0.5280898876404494
경남,-0.0011748414974929126,0.5560104500647935,2021,3,0.4157303370786517
경남,-0.0031783565395700607,0.9687442435553149,2021,4,0.38202247191011235
경남,0.022978271982908933,0.01065655286745078,2022,1,0.8023255813953488
경남,0.26748007399755114,0.22557449055302115,2022,2,0.43333333333333335
경남,0.020683925693179128,0.483957657730691,2022,3,0.1111111111111111
경남,2.493114095283308e-17,0.1748022533608389,2022,4,0.0
경남,0.27473746771462637,0.021227744442389757,2023,1,0.21839080459770116
경남,0.4834204210501153,0.6651486352591062,2023,2,0.011111111111111112
광주전남,-0.010776027054999705,0.3855643216428868,2021,1,0.7241379310344828
광주전남,0.05429064243908063,0.3067185074628524,2021,2,0.4
광주전남,0.07762410801449919,0.019695691948904585,2021,3,0.8651685393258427
광주전남,0.06260825808078377,0.004373676012799416,2021,4,0.6
광주전남,-0.001326420390964488,0.0006902735401980157,2022,1,0.8390804597701149
광주전남,0.20182360155581675,0.6253639286008579,2022,2,0.4777777777777778
광주전남,0.3068760238972361,0.018305314705581534,2022,3,0.1111111111111111
광주전남,0.11298525694791509,0.8407539857517004,2022,4,0.1348314606741573
광주전남,0.04150470636946329,0.020376683496337342,2023,1,0.5529411764705883
광주전남,-0.1250053754646393,0.5951330205763135,2023,2,0.16666666666666666
