region,gender,coef,p_val,year,promo_ratio,dates_count
강원,남,0.15159584445447918,3.72643785667332e-07,2021,0.4986301369863014,365
강원,남,0.08286840870345384,0.0028702279395923153,2022,0.38082191780821917,365
강원,남,0.13917114263631084,0.0002397584225008863,2023,0.6037735849056604,212
강원,여,0.13181084984303343,0.0002061518409494523,2021,0.4986301369863014,365
강원,여,-0.04275395731445362,0.40868858353736004,2022,0.38082191780821917,365
강원,여,0.09421755694107044,0.08666585579669643,2023,0.6037735849056604,212
경남,남,0.16182377178622534,3.5765720551395224e-07,2021,0.4794520547945205,365
경남,남,-0.022175946388235085,0.5003893029490631,2022,0.32602739726027397,365
경남,남,0.010569988262846074,0.8177794657990783,2023,0.16981132075471697,212
경남,여,0.058350465492154294,0.09639519060024034,2021,0.4794520547945205,365
경남,여,-0.03716186130340467,0.3616125437943185,2022,0.32602739726027397,365
경남,여,0.10114903918319748,0.14393573975129897,2023,0.16981132075471697,212
광주전남,남,0.07935933852990543,0.0016560016359461454,2021,0.6301369863013698,365
광주전남,남,-0.0332092749134908,0.2170790565098643,2022,0.3780821917808219,365
광주전남,남,0.03444382286498345,0.27292012107360103,2023,0.36792452830188677,212
광주전남,여,0.10415185564414056,0.0015249884286059425,2021,0.6301369863013698,365
광주전남,여,-0.018746794267394146,0.6713855933891952,2022,0.3780821917808219,365
광주전남,여,0.02923491415945442,0.5521181125039221,2023,0.36792452830188677,212
대구경북,남,0.17718458992286734,1.466482275019211e-09,2021,0.5013698630136987,365
대구경북,남,0.06225920687655278,0.01618166532242659,2022,0.5095890410958904,365
대구경북,남,0.07620142194604869,0.02710122550059569,2023,0.6650943396226415,212
대구경북,여,0.17007913811923625,6.086194090130072e-09,2021,0.5013698630136987,365
대구경북,여,0.09086004784378507,0.0037621359221991987,2022,0.5095890410958904,365
대구경북,여,0.08426255388670809,0.04096529708245659,2023,0.6650943396226415,212
대전세종충남,남,0.17866659028532098,7.281964239950711e-12,2021,0.5095890410958904,365
대전세종충남,남,0.0035360063251447674,0.8824467058476155,2022,0.3150684931506849,365
대전세종충남,남,0.08876119542698042,0.004598205384462928,2023,0.49056603773584906,212
대전세종충남,여,0.15288846326293515,1.799923580139196e-06,2021,0.5068493150684932,365
대전세종충남,여,-0.03169059242485687,0.33532213492368435,2022,0.3150684931506849,365
대전세종충남,여,-0.026654329409426424,0.4967380525632571,2023,0.49056603773584906,212
부산,남,0.20081052886906325,3.3306101772784215e-07,2021,0.5150684931506849,365
부산,남,0.01215140847550957,0.730982461035036,2022,0.43561643835616437,365
부산,남,0.1772350430944922,0.0010505484832423724,2023,0.6698113207547169,212
부산,여,0.12892918038484316,3.6643364306345603e-05,2021,0.5150684931506849,365
부산,여,0.06554139128564115,0.056493223570591736,2022,0.43561643835616437,365
부산,여,0.07912763912299187,0.14082453659571967,2023,0.6698113207547169,212
울산,남,0.0738213546173935,0.048882440413635084,2021,0.7506849315068493,365
울산,남,-0.08367493137666643,0.009312772250830749,2022,0.43561643835616437,365
울산,남,0.028276837451488186,0.47532458218735774,2023,0.5849056603773585,212
울산,여,0.06752039147257205,0.1481024748159522,2021,0.7506849315068493,365
울산,여,-0.12961700411028168,0.0015801351882646756,2022,0.43561643835616437,365
울산,여,0.11632811909981695,0.03595048935540444,2023,0.5849056603773585,212
전북,남,0.1371720813827335,0.00018990743659318745,2021,0.6465753424657534,365
전북,남,0.008773011640167614,0.7990480910486693,2022,0.6,365
전북,남,0.07764154320724483,0.07327236452260971,2023,0.4811320754716981,212
전북,여,0.04251037814089847,0.3584017669590295,2021,0.6465753424657534,365
전북,여,-0.04984951989209018,0.25912200068721514,2022,0.6,365
전북,여,0.21611744952334572,0.0031036321241247194,2023,0.4811320754716981,212
제주,남,0.012609431669650156,0.7655437057666735,2021,0.5342465753424658,365
제주,남,0.015087286440194757,0.7280380563998878,2022,0.4301369863013699,365
제주,남,-0.03757748690605387,0.505879899856434,2023,0.5801886792452831,212
제주,여,0.0946611626455333,0.058140601479380334,2021,0.5315068493150685,365
제주,여,0.033944366372252156,0.5444390461837343,2022,0.4301369863013699,365
제주,여,0.0919030040199667,0.24723123733119445,2023,0.5801886792452831,212
충북,남,0.1205586751566398,0.0012451674302386695,2021,0.5561643835616439,365
충북,남,-0.07225446155918272,0.016652179651702282,2022,0.4054794520547945,365
충북,남,-0.020126569895205653,0.6036985785837262,2023,0.4056603773584906,212
충북,여,0.10329583392900277,0.007758845473445585,2021,0.5561643835616439,365
충북,여,-0.04131698821576619,0.37219337526086593,2022,0.40273972602739727,365
충북,여,0.032641781395902715,0.5702204961334814,2023,0.4009433962264151,212
